Article Id,Article Title,Answer,Topic,Public,Created Time,Modified Time
422353000005628135,What are tokens and how do I use them?,"What are tokens and how do I use them? Tokens 
are essentially used as cash in your account. The more tokens you buy 
the less you pay per ce credit. Tokens are optional, but if you plan to take 
several courses, it might be a good option. In case you choose to buy tokens, here is how the process goes, step by step. If you want to buy/use tokens, go first to the tokens page at this link: https://www.zurinstitute.com/homeonlinepkgs-selfselect/ Once
 you are on the tokens page (Titled ""Bundle and Save $"") click on the 
green button reading ""click here"" depending on how many tokens you want 
to buy: 6, 18, 27, or 38. The amount of tokens you choose will be added to 
the cart. Before you buy tokens, note the exceptions at https://www.zurinstitute.com/homeonlinepkgs-selfselect/ Click on the button at the bottom of the page that reads ""continue"" If
 you are not signed in yet, the next screen will ask you to sign in. Use
 your email and password. If you do not have an account yet, click the 
""New User"" button. You will be prompted to create one. The next page will show you what you have in your cart: the tokens you are choosing to buy. Click at the bottom of the screen the button that reads ""continue"". Now
 you should be at a screen that will ask you to fill in your payment 
information. Make sure that you double check that you are ordering 
exactly what you want. When you are done, click on the button at the 
bottom of the screen that reads ""submit"". Then here is information on how to use tokens : Once you have purchased tokens, they can be used to buy courses. Just follow these steps: Click on a course title that you wish to order and add it to your basket. For example, if you wish to purchase Suicide Assessment and Intervention , click on the button that reads ""Order Course"" The
 next screen should show you what you have in your cart. At the TOP of 
your screen you will be able to see your token balance. Toward
 the TOP of the screen it will show you the option to ""apply existing 
tokens"" and how many tokens it takes to purchase the course you want. It
 will read: ""*Apply xx Tokens* of my total (xx) token balance to access 
this course."" Click on the empty circle by the sentence so it gets 
highlighted. Click on the grey button below it that reads ""Apply Tokens"" You are done. Now you will be able to access the course and post test information. We hope this helps explain tokens from start to finish for you. Let us know if we can be of further assistance.",Tokens/Discounts,True,2019-08-12 12:26:27,2021-06-28 03:39:24
422353000005628137,How do I use purchased tokens to buy courses?,"Once you have purchased tokens, they can be used to buy courses. Just follow these steps: Click on a course title that you wish to order and add it to your basket. For example, if you wish to purchase Therapeutic Ethics and the Movies, https://www.zurinstitute.com/moviesethicscourse.html , click on the button that reads ""To order this course now, click here"" The next screen should show you what you have in your cart. At the TOP of your screen you will be able to see your token balance. Toward the TOP of the screen it will show you the option to ""apply existing tokens"" and how many tokens it takes to purchase the course you want. It will read: ""*Apply xx Tokens* of my total (xx) token balance to access this course."" Click on the empty circle by the sentence so it gets highlighted. Click on the grey button below it that reads ""Apply Tokens"" You are done. Now you will be able to access the course and post test information.",Tokens/Discounts,True,2019-08-12 12:29:51,2019-08-14 23:21:41
422353000005628383,"Using tokens to purchase packages, certificates & specific courses","Tokens may be applied to individual course purchases, but may not be applied to packages or
        certificate programs. It
        states on the  tokens page : ** Record Keeping (6 CE Credit Hours) includes 60 Essential Clinical Forms and requires 11 Tokens . ** NOT valid on the following: Upcoming Events & Webinars Pre-Licensing Courses Savings Packages Certificate Programs Webinar Courses COVID-19 & Private Practice course Digital and Social Media Ethics course New York State Professional Ethics For Psychologists Autism in Females: Overlooked & Underserved",Tokens/Discounts,True,2019-09-07 01:17:45,2021-10-10 20:59:21
422353000005628207,"I no longer have access to the course/s, how do I gain access again?","If you do not have access to courses that you have purchased, please check to be certain you are looking in the correct section of My Courses.  To expand the section to see all the titles, click on the caret on the right side.  Once you have looked at a course, even if you have not begun studying, it will be moved to the In Progress section. support@zurinstitute.com",Completing The Courses,True,2019-08-18 08:48:28,2025-03-17 03:20:42
422353000005628209,The courses I've purchased are not listed when I log in. How do I find them?,"Newly purchased courses are listed in the Not Started courses on your My Courses page in your account. If you do not see a course that you recently purchased, please reach out to customer service. support@zurinstitute.com My courses overview: https://vimeo.com/805181127/56b8863fd3 Examples provided below.",Completing The Courses,True,2019-08-18 08:49:08,2023-03-21 04:04:03
422353000005628213,I forgot the email address I used when I registered. What should I do?,Please email us and give us your full name and phone number. We will research our system and get back to you within 24hours.,Completing The Courses,True,2019-08-18 08:51:18,2023-03-21 04:04:03
422353000005628217,I cannot access the articles that are formatted in PDF. What should I do?,"You need a PDF Reader, such as Adobe Acrobat, so you can read PDF articles. Adobe Acrobat is free and can be downloaded here.",Completing The Courses,True,2019-08-18 08:56:19,2023-03-21 04:04:03
422353000005628221,How long do I have to complete the course/s?,"You have three years from the time you order the course/s to complete 
them. Since courses require updating, the course/s you purchase will 
expire after three years.",Completing The Courses,True,2019-08-18 08:58:00,2019-08-18 08:58:03
422353000005628223,Can I complete the courses over two renewal cycles?,"Yes, you can complete the courses over two renewal cycles. You have 
three years from the time you order the course/s to complete them. Since
 courses require updating, the course/s you purchase will expire after 
three years.",Completing The Courses,True,2019-08-18 08:58:23,2019-08-18 08:58:38
422353000005628225,Do I need to complete the course in one sitting or I can do it in multiple sittings over a period of time?,"You can go back and forth to the articles and read them over many 
sittings over a period of time. You can also take the posttest in as 
many sittings as you wish, as you can save your completed answers each 
time. Once you reach a passing score of 75% or better you will not be able to retake the test.",Completing The Courses,True,2019-08-18 08:59:22,2023-02-02 23:34:02
422353000027903553,"The course that I was working on in now gone, why?","The beginning of May we switched to a new learning system and some of your Completed Courses were moved to In Progress or Not Started. You may remember seeing the note on your My Courses Page: We are aware that some courses completed prior to May 2022 are showing up in your account as Not Started or In Progress . If you find this, please DO NOT attempt to complete these before contacting support@zurinstitute.com . We have records of all completed courses and certificates of completion that we can provide while we are working to correct this problem. Ater July 11, 2022, an update occurred, and the courses showing as In Progress or Not Started were moved back to your Completed Courses. We do apologize for the confusion and any inconvenience that this has been for you. If you have any questions, please do not hesitate to reach out to our customer support. support@zurinstitute.com",Completing The Courses,False,2022-08-01 03:33:53,2023-02-02 23:32:53
422353000036580238,Purchasing Courses,Watch this short video for an overview on purchasing courses. Paying for course (vimeo.com),Completing The Courses,True,2023-03-06 00:05:41,2023-03-21 04:04:03
422353000036945015,Accessing Course Content,"Please watch this short video for an overview on accessing the Course Content through Articles, Audios, and Video Accessing Course Content (vimeo.com) To listed to the audio in our course material you will click on the underlined title. Picture below is an example of a course that contains audio and articles.  To access videos or text articles, simply click the title.",Completing The Courses,True,2023-03-15 00:27:12,2025-03-17 03:08:31
422353000005628187,"If I have a license #, do I have to enter it in my registration?","If you are a licensed psychotherapist or a nurse, we want you to enter 
your license #. Some accrediting bodies require that we have the license
 # on file before we grant a certificate of completion. This is entered 
by navigating to ""My Account,"" and My Profile.",Individual Profiles And Online Courses Home Pages,True,2019-08-18 08:12:30,2023-03-16 23:08:23
422353000005628189,How can I get a receipt for my online payment/registration?,"After you have successfully completed your online registration, you will
 receive an email confirming your registration. This email serves as a 
receipt for your payment. If you no longer have that receipt, sign into your account and click ""My
 Account"" and then ""Order History."" If you need additional assistance please contact customer support. support@zurinstitute.com",Individual Profiles And Online Courses Home Pages,True,2019-08-18 08:13:07,2023-03-16 23:07:35
422353000005628211,How do I reset my password?,"Go to https://www.zurinstitute.com/ click the Login button located in the right corner of the page. Select ""I forgot my password."" Enter your email address and click ""Send password reset email."" You will receive an email with a link to reset your password. If you do not receive a link to reset, please contact our support team. support@zurinstitute .com",Individual Profiles And Online Courses Home Pages,True,2019-08-18 08:50:14,2023-03-16 22:33:44
422353000005628227,What are the exact steps I will take upon registration and to create an account?,Created a free ZI Account. Sign Up – Zur Institute Fill all the information that has a red asterisk Click Sign Up,Individual Profiles And Online Courses Home Pages,True,2019-08-18 09:05:02,2023-02-03 00:02:45
422353000005628229,"What is included in my Online Courses ""My Courses"" Page?","Your Online Courses ""My Courses"" Page includes all the information about
 your online courses' activities. For each course it includes: Course 
material, Posttest, Evaluation and Certificate. You have access to 
your Online Courses ""My Courses"" Page through the ""Sign In"" link in the upper right on all of our pages. You will have access to 
the courses' material, evaluations, posttests and certificates for three
 years. My courses overview: https://vimeo.com/805181127/56b8863fd3",Individual Profiles And Online Courses Home Pages,True,2019-08-18 09:06:06,2023-03-09 01:21:40
422353000005628231,"What does ""My Account"" Profile include and can I amend it?","Your individual profile within ""My Account"" will include all your basic 
information, such as name, address, email, password, phones, license 
#(s), state(s). You can change the information at any time by using the ""Login"" link in the upper right of our main page. Important: whatever information is in your profile will show on your certificate. BEFORE BEGINNING: Review your Profile (personal) information and make corrections, if 
needed within ""My Account"". This information will appear on your 
certificate. .",Individual Profiles And Online Courses Home Pages,True,2019-08-18 09:07:40,2022-07-24 07:54:24
422353000005628235,How do I access records for courses I've already taken?,"""Login"" to your account and select My Account. Next you can select your My Courses page. You will be able to see the courses you are enrolled and those you have completed. There are 3 Course sections in your account: Not Started In Progress Completed You will also be able to find this information in your Order History",Individual Profiles And Online Courses Home Pages,True,2019-08-18 09:10:15,2023-02-02 23:53:29
422353000005628341,How do I find out what courses I have taken with ZI?,"""Login"" to your account and select My Account. Next you can select your My Courses page. You will be able to see 
the courses you are enrolled and those you have completed. There are  3 Course sections in your account: Not Started In Progress Completed You will also be able to find this information in your Order History",Individual Profiles And Online Courses Home Pages,True,2019-08-18 12:32:45,2023-03-16 22:35:47
422353000005628343,I've changed my email address. What should I do?,"You will need to login with the email address you created the account with. Once you have logged in, go to My Account and then to My Profile. You can update the Username/Email in this section. Once the changes have been made, click Save at the bottom of the page. Should you need further assistance, please contact our customer support. support@zurinstitute.com",Individual Profiles And Online Courses Home Pages,True,2019-08-18 12:33:13,2023-03-16 22:35:14
422353000005628239,Can I change my order from an individual course to a Package?,"Yes. If you would like to ""upgrade"" from a single course to a package 
within 6 months of the date of purchase, send us an email with the 
course you have and the package you want using full titles and number of
 CE credits for the courses and packages. We will then contact you with 
further instructions.",Return and Refund Policies And Change of Orders,True,2019-08-18 09:12:11,2020-04-28 09:20:22
422353000009120627,Refund Guaranty,"Our No Questions Asked Guarantee: Not every course suits every person’s need or matches their learning style.  If the course you purchase does not meet your expectation, we will either replace the course with another of your choosing – up to 6 months after date of purchase as long as the course has NOT been completed. Or provide a full refund up to 30 days after date of purchase as long as the course has NOT been completed.",Return and Refund Policies And Change of Orders,True,2020-11-23 00:46:59,2023-01-04 02:33:36
422353000005628241,"I can't print the articles from the online course I ordered, what should I do?","Most course articles are posted online in html or PDF format. They are 
simply (basic) web pages and therefore you should be able to print them 
without any problem. Generally, printing is controlled by your computer 
rather than by Zur Institute, Inc.'s web site, which, obviously, does 
not block any printing. Try the following: Reboot (restart) your computer and try printing again. Check your  printer's ""Settings"". Download the articles to your computer and copy and paste them into a word processing program, such as MSWord, and then print.",Course Articles And Course Material,True,2019-08-18 09:17:27,2019-08-18 09:17:34
422353000005628243,Can I download the articles to my computer so I can read them off-line?,"Yes, you can download articles onto your desktop. You can use the ""Save 
as"" function or other ways to do so. You can also copy the articles on 
to a thumb drive, if you prefer to store them that way. While you can read the 
articles off-line, you will need to take and submit the evaluations and 
posttests on-line.",Course Articles And Course Material,True,2019-08-18 09:18:31,2023-02-02 23:49:12
422353000005628245,How do I download an MP3 file for review?,"To listen on your computer, smartphone or tablet: Download the mp3 file by right-clicking on the audio title below (or control-click on some computers). This will start the download process to your computer. From there, you can listen on your computer, or you can transfer the file to your device.",Course Articles And Course Material,True,2019-08-18 09:34:15,2023-02-02 22:00:10
422353000005628247,How can I read the articles on my iPad or smartphone?,Simply log into your account on your Smartphone or iPad and go to my courses. You can access all the course materials by clicking on the links in the Course Content.,Course Articles And Course Material,True,2019-08-18 09:38:12,2023-02-02 23:47:08
422353000005628249,Can I get material for online courses in hard copy via mail or fax?,"No. Our online courses are to be done completely online. We neither fax 
nor mail the course material, as these courses are designated as online 
courses not home study courses.",Course Articles And Course Material,True,2019-08-18 09:39:07,2019-08-18 09:39:13
422353000005628251,How do I get Adobe Acrobat so I can read PDF articles?,"To get Adobe Acrobat so you can read PDF articles, simply download the free program .",Course Articles And Course Material,True,2019-08-18 09:39:45,2019-08-18 09:39:54
422353000005628253,How do I copy text from a PDF article?,"Different PDF versions of Adobe Acrobat have different ways to copy 
text. In the newest version (8.1.1) from Edit menu, choose ""Select all"".
 Then again from Edit menu, choose ""Copy"". Now you can paste the entire 
PDF file into a word processing program. Download the most recent version for free . For older versions, please follow these instructions: In Adobe Acrobat Reader, version 4 or higher, first click the ""T"" with 
the small box next to it, NOT the ""T"" in the small box located in the 
toolbar next to the magnifying glass (zoom). Highlight the section of 
the PDF file you wish to copy. Go to ""edit"" in the dropdown menu and 
choose ""copy"". Then paste it into a word processing program's new 
document as usual. If these instructions are not useful, please check with your PDF manual, seek Adobe's tech support or contact your own personal tech support.",Course Articles And Course Material,True,2019-08-18 09:40:19,2019-08-18 09:40:24
422353000005628255,"When I print the articles in a course, each sentence within every article is lopped off at the end, thereby missing two or three letters. Can you send me hard copies of the articles?","We do not have hard copies of the articles, as these courses are totally
 online. If the edges of the articles are cut off, please adjust the 
settings on your printer and on your computer. You may need to ask for 
help from a colleague or get tech support.",Course Articles And Course Material,True,2019-08-18 09:40:50,2019-08-18 09:40:56
422353000014688900,Are there updated versions of HIPAA course?,"You will find everything
 about the HIPAA course at , https://www.zurinstitute.com/courses/hipaa-made-friendly/overview/ the description of the course, 
objectives and syllabus and is as up to date as it can be.",Course Articles And Course Material,True,2021-06-29 23:20:28,2023-02-02 23:44:07
422353000020121363,Where are the HIPAA forms located in the HIPAA package of courses,"You will find the HIPAA Kit and 
HIPAA Forms in the course materials, the HIPAA Compliance Kit, for the 
course - HIPAA Made Friendly: Ethics, Law, and Updated Regulations 8
 CE Credits. https://www.zurinstitute.com/courses/hipaa-made-friendly/overview/",Course Articles And Course Material,True,2022-01-05 22:15:00,2023-02-02 23:35:44
422353000005628259,What is the passing rate on the posttest?,The passing rate is 75%.,"Posttests, Exams, Evaluations and Completing The Courses",True,2019-08-18 09:42:15,2019-08-18 09:42:15
422353000005628261,How long do I have to take the posttest?,The Posttest does not need to be completed in one sitting. You have 3 years from the date of purchase to complete the Posttest. Your answers will automatically save should you need to take the Posttest in more than one sitting.,"Posttests, Exams, Evaluations and Completing The Courses",True,2019-08-18 09:42:36,2023-03-16 23:06:08
422353000005628265,"Is the posttest an ""open book"" exam?","Yes, the posttest is in an ""open book"" format. You can review the course
 material while you are completing the posttest. You can review the 
course reading material on your desktop or in hard copy if you chose to 
print the articles. All materials open in a new window/tab of your 
browser. Watch this short tutorial to print a posttest: https://vimeo.com/805181229/82da9e3265","Posttests, Exams, Evaluations and Completing The Courses",True,2019-08-18 09:43:37,2023-03-09 01:15:11
422353000005628269,What happens if I fail the posttest?,"If you do not pass the test (i.e., score below 75%), you can take the posttest 
again. You have 3 attempts to pass the posttest. Once you reach a 75% or greater, you will be guided to complete the course evaluation. If you need to retake the test, your selected Correct answers will remain, and your Incorrect answers will be marked so only need to address  those questions.","Posttests, Exams, Evaluations and Completing The Courses",True,2019-08-18 09:44:42,2025-03-19 04:02:33
422353000005628273,Where is the course evaluation?,"The course evaluations will be available after your Posttest. It is very important that you complete the evaluations to their entirety, or your certificate of completion will not be generated. *The final question of the Activity Evaluation is a comment section. It is optional for you to leave a comment. However, if you do not have any comments to add, you must enter N/A or none in order to proceed to your certificate of completion. Labeled: Quiz 1: Posttest Quiz 2: Objectives Evaluation Quiz 3: Activity Evaluation Overview on completing evaluations: https://vimeo.com/805181072/80a7c113e3","Posttests, Exams, Evaluations and Completing The Courses",True,2019-08-18 09:45:34,2023-03-09 01:22:49
422353000005628275,How do I get to the posttest?,"You can access the posttest by clicking on the 'Proceed To The Posttest' button at the 
bottom of the 'Course Content' page. Alternatively, you can access the posttests by selecting Posttest in the Activity Progress section on the right side of your screen. If you are using a Phone or Tablet, the Activity Progress section will be at the bottom of the page.","Posttests, Exams, Evaluations and Completing The Courses",True,2019-08-18 09:45:58,2023-03-16 22:54:53
422353000005628279,Can I see the answers to my posttest?,"You cannot see the wrong answers on the Posttest, until you reach a passing score (75% or greater), as it is in violation of the Boards. You can find your posttest answers (once you have completed the 
posttest) in ""My Courses"". In Completed Courses, you can select the course you would like to review. Select Review & Access Certificate.","Posttests, Exams, Evaluations and Completing The Courses",True,2019-08-18 09:46:53,2023-03-16 22:58:53
422353000036580278,Printing a certificate,Watch this short video for an overview on printing your certificates. Print a Certificate of Completion (vimeo.com),"Posttests, Exams, Evaluations and Completing The Courses",True,2023-03-06 00:06:30,2023-03-16 22:31:07
422353000036580318,Printing the Posttest,"Watch this short video for an overview on printing your Posttest. Printing Posttest (vimeo.com) You can print the posttest and follow along as you review the course material. You must then transfer your answers to the online posttest in order to progress to your certificate of completion. To access your posttest, scroll to the bottom of the course page and select the Print Posttest button.  You may print the posttest at any time since you always have access to your course materials, even when in the posttest section. To review material, select Course Content in the Activity Progress bar on the right side of the page.  You also have the option of opening the posttest in a second window of your browser while going through the test questions. You  or click on View Course Content. When printing the posttest, it is suggested that you use your browser's print function to get the entire page. Printing the Posttest if you are using a Mac: Go to the selected page, in this case the Posttest. You can use the standard Print dialogue.  You will get a Print Preview of the selected pages.","Posttests, Exams, Evaluations and Completing The Courses",True,2023-03-06 00:07:50,2025-03-19 04:27:38
422353000005628233,"I have two licenses, how do I enter them and will both appear on the certificate?","You can add an additional license number by logging into your account and clicking on My Account. Click on My Profile, scroll down to the license section. You can enter additional numbers by clicking on the plus sign.",Certificates and Reporting of CE Credit Hours To Licensing Boards,True,2019-08-18 09:09:41,2023-03-16 22:39:06
422353000005628281,How do I get my certificate?,"Log into your ZI account, select My Courses, and select Completed Courses. Find the courses that you would like a Certificate for, you will see Review & Access Certificate. Click on Review & Access Certificate and a Certificate of completion will be generated.",Certificates and Reporting of CE Credit Hours To Licensing Boards,True,2019-08-18 09:47:26,2022-07-24 07:48:42
422353000005628283,"Do I need to have a certificate or certification in Cinema Therapy, Somatic Therapy, Positive Psychology, etc. in order to practice these approaches?","The general answer to this question is if you are licensed as a 
psychologist, MFT, social worker, counselor, psychiatrist, etc., you 
need to practice within your scope of practice and your scope of 
expertise as determined by the type of license you have, your education,
 supervised experience or clinical experience. Generally, Cinema 
Therapy, Somatic Therapy, etc. are not any different than practicing CBT
 or psychoanalysis. While they do not require certification, you need to
 have education and training. It is always good to check with your 
professional association or your licensing board for additional 
information.",Certificates and Reporting of CE Credit Hours To Licensing Boards,True,2019-08-18 09:47:54,2019-08-18 09:48:00
422353000005628287,What is the date that will appear on my certificate?,The date that will appear on your certificate is the date you complete the EVALUATION of your course. IMPORTANT NOTE: All times/dates are Eastern Standard Time.,Certificates and Reporting of CE Credit Hours To Licensing Boards,True,2019-08-18 09:51:29,2019-08-18 09:51:55
422353000005628289,I can't print my online certificate. What do I do?,"If you cannot print your certificate turn your printer off and then on 
again. Or restart your computer. The certificate is like any other web 
page and you should be able to print it without any problem. You will be able to print your certificate anytime, from any 
computer that is connected to the Internet. Printing overview: https://vimeo.com/805181193/c093a4336a",Certificates and Reporting of CE Credit Hours To Licensing Boards,True,2019-08-18 09:52:20,2023-03-09 01:19:49
422353000005628291,I've lost my certificate/s of completion. How do I get duplicates?,"Simply "" Login "" to your ZI account. Select ""My Courses"" and select ""My Completed Courses."" Scroll to the desired course you'd like to get a duplicate certificate. Select Review & Access Certificate.",Certificates and Reporting of CE Credit Hours To Licensing Boards,True,2019-08-18 09:52:49,2023-02-02 23:15:11
422353000005628293,Can I change the date on the certificate after I have passed the posttest?,"The educational program enters the date of completion into the 
certificate automatically as soon as you have completed the evaluation, 
and it cannot be changed. IMPORTANT NOTE: All times/dates are Pacific Standard Time.",Certificates and Reporting of CE Credit Hours To Licensing Boards,True,2019-08-18 09:53:33,2023-02-02 23:14:04
422353000005628295,Why does my certificate not say that the course fulfills a requirement?,"Whether a certain course fulfills a requirement is determined by fact of
 the course content, which is outlined in the Course Description, 
Syllabus and Educational Objectives. Whether a course is fulfilling a 
requirement is neither determined by the title of the course nor by the 
wording of the certificate. It is our understanding that, if you were to
 be audited, you would need to submit the course syllabus, course 
objectives and certificate of completion. You may want to check with the
 Board if you have further questions.",Certificates and Reporting of CE Credit Hours To Licensing Boards,True,2019-08-18 09:54:24,2019-08-18 09:54:32
